country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,,,,,11.6,13.1,12.2,13.8,,11.4,12.2,,,,,,,18.4,17.4,17.1,,,,
Afghanistan,,,,,,,,,,,,,,,,12,12.2,8.32,11.2,11.7,10.2,10.3,10.3,
Albania,,,,,,,,,,,,,,,,,,,,,29.8,,34.2,
Andorra,,,,,,,,7.78,,7.97,7.44,9.73,9.92,,15.7,17.1,17.8,,15.6,13,13.5,12.7,12.7,12.3
UAE,,,,6.04,,,,,,,,,,,,,,,,,,,,
Argentina,,,,11,12.4,12.3,13.8,10.8,10.5,10,10.5,11.5,12.7,13.7,14.8,13.7,14.2,14.6,14.4,14.4,15.6,15.2,15,
Armenia,,,,,,,,,,,,,,,,,,10.8,11,,11,11.3,10.2,
Antigua and Barbuda,,,,,,,,,,,,,,,8.06,,,,,,,,,
Australia,15.7,,,,,16.7,,,,,17.9,17.7,17.3,17.7,19.9,22.3,20,18.1,18.7,18.2,18.8,19.3,,
Austria,,,,24.5,24.4,22.5,22.4,22.9,22.6,22,22.6,22.6,22.2,23.2,25.1,24.9,24.6,21.3,22.9,22.6,23.2,23.5,,
Burundi,,,,,12,9.05,10.1,10.6,,14,13.3,,,13.6,15.9,14.4,14.5,12.7,12.9,,,,,
Belgium,,,,,,,,,,,,,,,,,,,22.6,22.2,22,21.9,,
Benin,,,,,,10.9,12,10.1,10,10.5,10.1,11.3,,11.6,12.6,13.7,,12.2,11,10.2,10.3,,,
Burkina Faso,,,,,,,,,,,33.3,29.8,28.1,,,18.1,20.5,17.4,19,20.2,16.1,,,
Bangladesh,,,,,,,,,,,,7.58,8.8,8.3,7.57,,,,,,,,,
Bulgaria,,,,12.3,,,15.2,15.4,18,11.2,22.2,21.6,20.6,22.8,22.7,21.5,19,18.9,23,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,10.5,10.3,11.2,,,
Belize,,,,,16.9,16.2,,,,12.4,13.7,14.1,,15.5,16.1,18.2,,15,16.1,16.3,15.1,16.2,16.6,
Bermuda,,,,,,,,,,9.41,10.9,,,,,12,,,,8.46,8.05,,,
Brazil,,,,,10.6,10.5,10.4,9.8,,12.7,15.2,,16.9,18.1,19.7,20.5,20.1,19.5,19.7,19.5,20.1,,,
Barbados,,,,,10.6,14.1,19.5,17.8,19.5,19.8,19.2,,,22.1,,,,,,,,20.8,,
Brunei,,,,,,,,,,,,,,,,5.02,,,,,,8.87,,
Bhutan,,,,,,,,,,8.3,10.4,,,7.14,8.73,7.51,9.11,,7.74,12.8,,,,
Botswana,,,,,,,,,,,17.2,,13.5,,10.1,,,,,,,,,
Central African Republic,,,,,,,,,,,,7.3,5.34,,4.34,4.1,,,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,17.6,,,
Switzerland,,,,21.6,21,20,21,22.4,22.7,22.7,21.9,21,20.4,18.6,21.8,21.9,23.3,27,26.9,26.4,24.6,24.8,,
Chile,,,13.4,11.7,,13.9,,15.3,14.6,12.2,11.5,10.5,11.2,13.9,16.1,14.6,15,16.8,15.8,14.2,15.2,18.3,18.4,
China,,,,5.9,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,,,15.4,14.1,14.3,13,12.8,,,,,16.3,16.5,15.6,15.5,,12.5,13.6,13.6,12.8,13.8,15.8,13.2,13.3
Cameroon,,,,,,,,,,,6.03,6.44,6.83,5.11,6.28,5.93,5.28,5.45,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,3.1,,,7.19,,,,,
"Congo, Rep.",,,,,,,,7.15,,,3.03,,,,,11.7,,,,,,,,
Colombia,,,,13.2,15.2,11.9,13,,,15.8,15.4,,12.4,12.3,15.5,15.5,14.8,14.9,16.6,17,17.4,17.4,17.8,17
Comoros,,,,5.49,,,,5.58,,,,,,16.1,,,9.63,,8.11,9.76,,,,
Cape Verde,,,,,,,,17,,,19.1,18.3,13.4,12.6,15.5,,15.7,,14.5,16.5,16.6,17.1,16.7,
Costa Rica,,,,,17.5,15.7,15.1,16.5,,16.9,,14.5,14.9,16.2,21.2,24.4,23.2,24.8,24.8,25.1,26.7,24.9,22.3,20.8
Cuba,,,,22.2,25,28.3,28.9,37.3,,40.5,40.3,33.6,45.6,46.2,43.2,49.1,,,,,,,,
Cayman Islands,,,,,,,,,,,17.1,17.1,,,,,,,,,,,,
Cyprus,,,,,15.9,14.9,17.6,18.4,21.3,19.8,20.7,22.1,23.5,25.9,28.9,30.9,32.2,,31.5,32.1,32.2,31.9,,
Czech Republic,,,,9.66,10.4,10.6,10.2,10.8,11.7,11.6,11.5,12.4,11.9,12.4,15.1,14.9,15.4,15.7,15.3,15.1,14.9,13.9,,
Germany,,,,16.5,,,,,,,,15.6,15.1,15.1,17.2,17.7,17.1,17.3,17.6,17.7,17.5,17.4,,
Djibouti,,,,41.8,,,,,,,,21.5,22.7,23.1,,,,,,,,37.3,,
Dominica,,,,,,,,,,,,,13.7,17.4,13.6,15.1,14.9,13.5,,,14.6,,,
Denmark,,,,26.3,24.1,23.6,24.8,24,,24.2,24.6,23.9,23.8,24.1,28,27.9,21.7,25.6,25.4,25.1,,,,
Dominican Republic,,,,,,,,7.49,,4.34,6.43,,8.28,6.72,6.73,7.05,6.87,8.65,14.4,14.8,14.9,15.8,14.6,16.2
Algeria,,,,,12.2,9.9,,11,11.5,,,,,,,,,,,,,,,
Ecuador,,,,,3.82,2.86,,,,,,,,,11.1,10.4,11.1,10.7,11.8,10.3,9.43,9.51,,
Egypt,,,,,,,,,,,,,,,,,,,,,,,9.85,
Eritrea,,,,,,,8.54,6.89,,5.27,,,,,,,,,,,,,,
Spain,,,,17,17.7,17.2,17.5,17.8,18.2,18.5,18.7,19,19,20,21.3,21.1,21,18.3,17.6,17.3,17.3,17.1,,
Estonia,,,18.1,17.2,21,,18.2,19.5,19.1,18.7,19.4,,19.2,25.2,27.1,24.8,22.3,22.5,25.9,22.4,20,20.3,,
Ethiopia,,,18.8,,,,,,,,,,,,9.17,7.98,8.92,8.45,,8.5,7.88,,,
Finland,,,,,16.8,16.3,16.7,17.2,17.7,17.8,17.2,17.3,16.8,17.7,19.5,20.1,20.2,20.6,20.7,21.1,22,21.5,,
