country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.5,95.1,94.1,96.5,94.5,98.2,96.7,102,101,98.6,98.3,95.7,,,101,105,,,,,,,,
Afghanistan,,,,,18,,,19,20.7,,27.7,35.9,,,21.8,21,,,,,,,,34.2,,,,,,,,,,,,,,,,,,,,,,,82.9,87.3,88.7,86.2,,,
Angola,,,,,,,,,,,,46.2,41.3,,,,,,,,,31,,,,,,,,,,,,,,,,,41.2,41,42.3,49.1,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,90.5,,,,99.2,101,,100,98.9,,,107,105,106,103,108,115,99.7,112,107,107,110,106,102,99.5,98.2,97.7
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,102,101,,,,,,,,,,66.3,66.1,68.5,65.8,66.7,64.2,62.7,62.1,
UAE,,,,,36.4,41.9,52.4,58.6,61.3,64.7,66,69.3,81.1,82.8,81.4,78.1,78.7,74.7,70.7,76.4,84.1,90.9,91.1,89.5,90.1,90.1,86.3,82.8,82.7,88.8,95,98.9,98.8,,,,,,,,,,91.5,99.7,112,125,,,,119,105,,
Argentina,70,72.1,,,76.3,78.5,77.9,,,,,,,,,,,,,,,,,,97.8,,92.6,92.4,101,99.5,99.7,99.2,102,99.5,97.8,94.8,95.8,98.6,102,103,103,103,104,103,105,106,107,102,100,100,104,105,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,107,,,90.6,,,,,83.7,86.8,100,93.5,92,96.7,98.7,,91.5,93.5,93.6,,94.6,94.2,105,103,100,97.2,102,101,92.1
Antigua and Barbuda,,,,,,73.8,75.6,,,,,,,,,,,,,,,,88.5,,,,,,,,,,,,,,,,109,104,119,119,,114,119,100,103,108,104,105,,,
Austria,,93.8,96.2,96.2,,,,,,,,,,,,,,,,,,,,,,,,,99.6,99.2,,,99.5,,101,,,,,,,101,96.5,98.9,97.3,99.4,97.2,98.6,97.8,99.5,97.6,99.8,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.5,95.2,97.6,92.7,95.6,93.4,91.6,98.1,90.7,91.8,89.5,92.8,92,88.1,98.1,103,111,107,100,100,98.5,96.6,99.7
Burundi,,5.75,,11,11.1,11.7,10.9,11,10.7,10.7,10.8,10.9,12.7,17.1,23.1,23.9,25.9,25.6,35.5,30.8,38.6,42.9,45.5,49.2,,,,,,,25.1,25.9,26.4,30.9,33.4,35.8,,49.2,42.9,49.5,54.8,59.6,64.6,71.3,69.1,62.1,64,63.3,57.2,53.3,49.2,49,47.1
Belgium,,,,,69.4,69.9,69.6,72.5,75.5,69.6,70,74.9,75.9,70,74.6,74.8,75.2,75.5,75.3,,,76.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,17.2,19.9,20.1,19.1,23.5,23.3,22.8,25.1,26.5,28.4,29.4,31.7,34.3,28.1,32.1,29.4,28.4,26.2,26.1,18.3,20.7,20.6,22.6,24.4,29,31,33.3,36,,36.3,40.3,42.3,46.5,50.5,,,,61.9,,65.3,70.1,71.6,76.9,77.3,78,77.4,,,61.8,60.3,70.8,64.6
Burkina Faso,,7.47,6.96,7.14,6.87,7.71,7.64,8.58,8.73,9.57,9.41,10.4,10.6,11.3,12.3,13.9,,15.7,16.7,16.3,19.1,19.5,25.8,25.2,26.1,18,21.8,,,22,23.9,25.3,26.1,27.8,29.1,30.7,32,34.1,37.8,42.7,46.3,52.8,56.3,61.3,60,60.7,60.3,61.6,62.8,61.8,62,63.8,58.4
Bangladesh,,,,,,,42.7,31.1,,,,27.3,,,,,,,,45.1,,,,,,,,,,,,,,,,65.9,,,57.4,63.3,65.1,,,,,,,,,,,120,108
Bulgaria,,94,93.9,94.4,97.8,87.9,90.4,88.8,89.2,89.9,91.4,92.8,93.5,95.7,98.1,104,98,102,104,106,103,94.1,92.2,88.2,88.5,87.1,90.9,93.3,94.9,96.1,95.8,101,102,103,104,105,108,104,104,101,99.8,100,99.5,98.4,99,97.1,96.3,95.5,94.3,91.8,91.2,89.5,
Bahrain,,,,,,,,,,,,,89.7,81.6,80.6,83.1,81.8,83.6,90,96.2,,97.6,91.6,86.1,78,78.6,78.2,,80.5,85.4,84.4,84.6,89.1,89.3,92.1,93.8,,,,,,93.5,98.2,104,104,99.4,100,99.9,98.9,99.7,,,92.9
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,89.9,,,,,75.5,,,,,,92.6,87.6,91.7,88,87.1,79.5,86.6,86.4,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,77.9,77.3,76.3,84.5,91.7,90.8,90.5,88.5,91.4,90.2,88.8,87
Belarus,,101,97.9,99.3,95.4,96.9,100,99.7,101,98.8,97.7,94.8,95.1,95,96.4,97.8,96.7,,,,88.6,92.1,86.5,91.3,93.8,93.1,88.8,93.3,,98.7,104,109,132,105,105,104,102,99.6,94.3,97,96.1,99,97.6,94.9,94.3,94.1,94.4,95.6,96.8,99.1,95.6,93.5,93.2
Belize,,,,,,,,,,,,,,,,,,,,,,,93.7,,,92.4,98.5,,,97,98.6,101,,98.7,100,103,102,104,97.9,101,99.8,103,108,103,104,106,106,103,104,103,105,113,106
Bermuda,,,,,,81.2,,,,,,,,,,,,,,,,,,,,,,,,,,105,109,108,104,105,105,,,,117,109,104,109,102,105,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.3,94.6,95.8,93.7,90.1,87.8,88.3,89.2,90.4,86.9,87.9,,
Brazil,76.4,80.8,63.4,65.7,67.8,67.7,65.3,65.4,67.3,69.4,71.7,72.2,73.6,,76.2,76.2,,81.3,,,,,93.1,92.3,89.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.2,97.9,103,101,107,103,99.6,102,98.5,98.1,97.1,94.8,96.2,,,,,,,86.7,82.2,94.1,100,91.7
Brunei,,,101,99.1,104,92.1,105,102,102,102,93.8,99,88.3,90.6,64.1,,135,,,,,102,101,91.9,87.5,81.6,,88.5,95.4,99.2,100,108,107,112,106,104,105,105,105,104,108,110,104,104,97.8,99.8,104,103,102,94.3,100,,
Bhutan,,,,,,,5.81,6.2,9.05,9.96,,,,,,,,,20,,,,,24.8,29.2,,,,49.8,54.3,54.9,54.3,,,60.5,65.4,70.8,73.3,79.4,82.1,89.8,92.8,102,98.1,96.4,94.8,96.6,95,84.6,75.7,82.7,90.6,78.6
Botswana,44.5,50.2,57.1,60.2,62.9,59,51.7,47,53.8,66.7,71.7,81.7,85.3,77.7,80.8,86.9,96.7,97.9,93.4,89.5,90.7,90.9,91.2,90,94,90.8,92.7,,91.3,88.1,87.9,90.7,92.4,92.7,92.7,91.6,94.2,90.7,93.4,96.6,,,96.5,95.2,,,,,,,,,
Central African Republic,,23.2,21.7,27,23.9,30.3,25.8,27.5,34.2,,,26.9,27.2,24.9,,,38.2,29.3,30.5,29.9,31.2,28.3,22.4,,,,,,,,,,,,21.4,23.4,23.4,,31.3,33.8,35.7,37,38.5,,,,37,48.7,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.8,97.4,98.3,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,51.4,59.3,57.7,57.6,53.6,53.8,53.8,52.5,52.5,52,51.5,51.3,51.8,51.2,52.7,53.9,58.6,60.7,,73.3,,,95.3,96.9,95,96.2,95.3,96.5,95.4,96.7,96.3,97.2,96.1,97,96.7,96.8,94.1,96.5,96.6,94.9,95.4,94.4,93.6,94.3,95.5,
Chile,79.9,87.6,92.2,93.4,91.6,91.6,92.9,90.2,,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.1,97.4,97,98.2,97.8,98.4,98.2,98.2,97.4,98,99.2,
China,,,,,,,,,,,,,,,,,,,,111,106,100,93.7,92.3,88,96.9,92.4,93.2,,,,,,,,,92.4,96.4,105,106,105,,,,,,,,,,,,
Cote d'Ivoire,,,,35.7,36,39.6,42.8,46.3,47.9,50.8,54.4,59.1,,57.8,56,47.4,47.8,47.4,45.8,41.5,39.5,42.8,39,40.5,40.9,39.9,41.8,40.2,41.4,44.7,42.9,47.1,,,,,42.7,43.7,,44.6,,51.8,52.8,51.8,53.1,58.1,61.4,67.7,70,73.5,75.6,73.7,68.6
Cameroon,,,,47.3,46.8,48.8,50.3,51.1,61.5,52.1,50.6,50.8,49.7,50,52,53.7,54.2,55.9,55.5,,56.7,55.3,,,,,,,,49.1,50.4,,,57.1,59.1,,51.5,54.8,71.2,71.1,72.6,71,75.1,,73.7,74.5,73.4,68.2,64.4,65.4,66.5,68.7,69.4
